podcast,episode,claim_text,Claim quality,Quick feedback claim,quote_text,Entailment quality,Quick feedback entailment,entailment score 0 to 1,"Quotes quality ",Quick feedback quote
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP allows banks to use their existing systems like Swift messages to interact with blockchain networks without needing to go through complex bridging processes.,Good,,"So what that means is that not only can you connect an existing system into all of the chains on CCIP by connecting your existing system that doesn't even have a blockchain into the CCIP system. So not only can you do that, but then, and this is what we did with Swift and some of these big market infrastructures like the DTCC and many others, you can actually use your existing APIs, your existing things like Swift messages to define what you wanna do on a blockchain.",Good,Supports,0.8,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP allows banks to use their existing systems like Swift messages to interact with blockchain networks without needing to go through complex bridging processes.,Good,,"We enable the bank to use its existing systems, let's say Swift messages. We allow them to define their desired interaction in a language and in a method and in a message that they already have in their systems.",Good,Supports,0.7,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP allows banks to use their existing systems like Swift messages to interact with blockchain networks without needing to go through complex bridging processes.,Good,,"That kind of thing is what's possible with CCIP. And again, the Banks, they don't need to learn how to interact with every single chain out there.",Good,Supports,0.7,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP allows banks to use their existing systems like Swift messages to interact with blockchain networks without needing to go through complex bridging processes.,Good,,"And then from your existing systems, you can send those transactions into CCIP. And what this does is it reduces the friction for Banks asset managers, CSDs exchanges that power and hold trillions of dollars to integrate with Blockchains.",Good,Supports,0.6,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP allows banks to use their existing systems like Swift messages to interact with blockchain networks without needing to go through complex bridging processes.,Good,,"The way I understand this basically is CCIP, it speaks Swift, which is what the Banks speak, also speaks blockchain, which is what the blockchain speak. So all of the Banks continue to speak Swift and also interact with, communicate with EXCHANGE data, with swap assets with the blockchain.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,Chainlink is not just one singular network but an ecosystem of thousands of Oracle Networks.,Good,,"Sergey, Why, Chainlink, Is, an Oracle is a network of Oracle Networks. It's not just one singular network.",Good,Supports,0.7,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,Chainlink is not just one singular network but an ecosystem of thousands of Oracle Networks.,Good,,"And that's what it'll do. And the Chainlink network and framework, it has launched over a thousand Oracle Networks on production that have secured value successfully for over four years processing 8.5 trillion in transaction, the majority of that for market data.",Good,Supports,0.6,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,Chainlink is not just one singular network but an ecosystem of thousands of Oracle Networks.,Good,,"Well, I'll explain the different types of Networks you can build, but no Chainlink Is over a thousand Oracle Networks. And if you count the staging, the testnet, some of the private instances, it's thousands of Oracle Networks.",Good,Supports,0.7,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,Chainlink is not just one singular network but an ecosystem of thousands of Oracle Networks.,Good,,"It is an Oracle network kind of framework that has generated over a thousand Oracle Networks live on production, securing value and processing over eight and a half trillion dollars worth of transaction value. And the way it's done, that is every distinct problem that you have, you can generate a unique Oracle network to solve that problem.",Good,Supports,0.5,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,The Chainlink network and framework have launched over a thousand Oracle Networks on production that have secured value successfully for over four years processing 8.5 trillion in transactions.,Good,,"And that's what it'll do. And the Chainlink network and framework, it has launched over a thousand Oracle Networks on production that have secured value successfully for over four years processing 8.5 trillion in transaction, the majority of that for market data.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,The Chainlink network and framework have launched over a thousand Oracle Networks on production that have secured value successfully for over four years processing 8.5 trillion in transactions.,Good,,"It is an Oracle network kind of framework that has generated over a thousand Oracle Networks live on production, securing value and processing over eight and a half trillion dollars worth of transaction value. And the way it's done, that is every distinct problem that you have, you can generate a unique Oracle network to solve that problem.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,"Chainlink has expanded beyond market data oracles to include proof of reserves, random number computations, gaming automation, and Crosschain communication.",Good,,"And so that's what Chainlink has now expanded to do, both in terms of going beyond market data to be the largest provider of proof of reserves, the largest provider of various other types of data. And then moving on to various computations for gaming automation, very soon we're releasing into main net something called functions which is gonna have a lot of very critical capabilities for people to access various external systems.",Good,Supports,0.7,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,"Chainlink has expanded beyond market data oracles to include proof of reserves, random number computations, gaming automation, and Crosschain communication.",Good,,"That's kind of where Chainlink is now, where it originated by doing the computations around market data 'cause there was a lot of demand for that. But now it has expanded far beyond that to many other types of computations.",Good,Supports,0.5,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,"High-value transactions will still occur on Ethereum L1 despite most activity moving to Layer 2s, ensuring a steady demand for Ether as a payment mechanism.",Good,,"Maybe it's, you know, where the pristine NFT drops happen and there's still like massive amounts of congestion when those crypto punk 2.0 gets dropped. But fundamentally, like I view the ecosystem of economic activity that kind of all funnels down to Ethereum L one as resulting invaluable transactions gonna happen on the L one.",Good,Supports,0.5,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,"High-value transactions will still occur on Ethereum L1 despite most activity moving to Layer 2s, ensuring a steady demand for Ether as a payment mechanism.",Good,,"And in regards to L one execution, I still do think even if you know most user activity takes place on the L twos, there still will remain like high value transactions that do take place on the Ethereum L one. And I kind of like to use the mental model.",Good,Supports,0.8,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,UNISWAP Labs is offering the largest bug bounty ever at 15.5 million dollars for UNISWAP V4,Good,,Now UNISWAP Labs is taking an extra step to make V four as secure as possible with a 15 and a half million dollar bug bounty. Head to the link in the show notes to dive in and participate in the UNISWAP V four bug bounty.,Good,Related,0.7,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,UNISWAP Labs is offering the largest bug bounty ever at 15.5 million dollars for UNISWAP V4,Good,,"But why should you care about sellers transition to a layer two layer two's unify Ethereum L one's fragmented by becoming a layer two cello leads the way for other EVM compatible layer ones to follow, follow cello on x and witness the great cello happening where cello cuts its inflation in half as it enters its layer two era and continuing its environmental leadership. UNISWAP Labs is making history with the largest bug bounty ever, 15 and a half million dollars for critical bugs found in UNISWAP V four.",Good,Supports,0.9,Bad,"Advertising, Unrelated"
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,Tools like Hyperfy allow for easy creation of these virtual worlds using no code or very low code methods,Good,,"So we can go with this example, it might be relevant to the audience, is this team called Hyperfy. And the way I would describe Hyperfy is it's a suite of tools and an app that helps builders build these virtual worlds in a really simple way.",Good,Related,0.5,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,Tools like Hyperfy allow for easy creation of these virtual worlds using no code or very low code methods,Good,,"And they had no token, this was literal real PMF. So what you're looking at here is a virtual world built by this team hyperfy that kind of builds out these worlds in a super easy kind of like no code or very low code fashion.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP enables users of Web 3 systems like aggregators or wallets to use multiple DeFi protocols on different chains without integrating directly with those chains.,Good,,"Well, in the public chain world, CCIP would be very useful because you could allow users to use multiple different DeFi protocols on multiple different chains without your wallet or your aggregator integrating with those chains, you could just send the value, trigger the transaction, receive back whatever you wanted. Also through CCIP.",Good,Supports,0.9,,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,CCIP enables users of Web 3 systems like aggregators or wallets to use multiple DeFi protocols on different chains without integrating directly with those chains.,Good,,"I would just switch it to some kind of brokerage or investment manager account that can't keep your returns for themselves, which you know, goes to your earlier points about bankless and stuff and you know, that type of thing. But yes, so you should be able to use various DeFi protocols from any number of interfaces, which will essentially act as wallets that the CCIP protocol will integrate into all the chains simultaneously.",Good,Supports,0.7,,
Bankless,Super Scaling with StarkWare | Uri Kolodny & Eli Ben-Sasson,There are trade-offs between latency and amortized gas cost per transaction when using StarkEx for extreme scalability,Good,,"So one very clear trade off is that as we grow the batch sizes, all things considered latency grows, but amortize gas cost goes down. Another thing is that as you, yeah, I think that's probably the most important trade-off there are other internal trade-offs in our system.",Good,Supports,0.9,Good,
Bankless,Super Scaling with StarkWare | Uri Kolodny & Eli Ben-Sasson,There are trade-offs between latency and amortized gas cost per transaction when using StarkEx for extreme scalability,Good,,"So you need also a lot of computation to get that thing. So what you get is you're increasing latency, which is bad, but you're decreasing in minimizing amortized gas costs per transaction, because the larger, the batch that's basically what the magic of Starks gives you.",Good,Supports,0.9,Good,
Bankless,Super Scaling with StarkWare | Uri Kolodny & Eli Ben-Sasson,There are trade-offs between latency and amortized gas cost per transaction when using StarkEx for extreme scalability,Good,,"And then the proof would probably be much quicker to generate and would go on chain much quicker. So maybe the latency from DYD ex's side would not be hours but minutes, but then the cost would be that the amortized gas cost per transaction would be higher because the amortization is over a smaller number.",Good,Supports,0.9,Good,
Bankless,AI ROLLUP #10: 70% AI Market Crash | Fair-Launch Tokens Good or Bad? | Virtuals’ $2M Fiscal Policy | Coinbase AI Hackathon,"Meme coins have a general appetite that relates to the Lindy effect, where people prefer simple and humorous tokens over more complex ones",Good,,"Yeah. So there's just a general appetite for meme coins and it, it probably relates to the Lindy that meme coins have over ai.",Good,Related,0.5,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,The development of AI is expected to make many current day-to-day tasks irrelevant in the near future.,Good,,"Not AI and crypto, I'm just talking about AI specifically. Like it's gonna make a lot of stuff that we do on the day-to-day within work within life pretty irrelevant.",Good,Supports,0.9,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,"The North Star for this roadmap involves creating a scalable and decentralized environment where digital assets can be used for various transactions such as swapping, sending money across borders, etc.",Good,,"Yeah, I think right now the North Star is growing the amount of economic activity that takes place in the Ethereum ecosystem and in the Ethereum ecosystem kind of includes L twos Rollups specifically that use Ethereum da. And so you know, Democrat had this really awesome point in a recent A MA where he said like before we can start thinking about like value accrual or like why e you know is gonna be a long-term valuable asset, we have to think about value creation and that value creation is gonna come from people actually like getting on chain using digital assets, swapping, sending money across borders, et cetera.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,"Oracle Networks are about combining nodes into committees, into validator sets that do very specific singular computations.",Good,,"So Oracle Networks are actually about a few things. They're about combining nodes into committees, into validator sets that do very specific singular computations singular.",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)",Total adjusted on-chain volume increased by 35% to a new all-time high of $1 trillion combined with Bitcoin and ether,Good,,"First metric is total adjusted on chain volume increased by 35% to a new all-time high of $1 trillion combined with Bitcoin and ether. The state and ether is the majority of that volume, like 6 60, 40 ish,",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)","Bitcoin futures volumes increased by 30% to a new all-time high of $2.5 trillion in May, with Binance alone trading over a trillion dollars in Bitcoin futures",Good,,"Bitcoin future of volumes increased by 30% to a new all-time high of $2.5 trillion in the month of may Binance alone traded at a trillion dollars in Bitcoin futures. Jeez,",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)",Legitimate centralized exchange spot volume increased by 38% to a new all-time high,Good,,"A month of may legitimate centralized exchange spot volume increased by 38% to new all time high, pretty impressive making it the fourth time this has ever happened. Wait like, oh, this is a chain volume of Eve as an asset.",Good,Supports,0.7,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)","Option trade volume of Bitcoin and Ethereum options has increased up to 60% monthly, making ether futures volume now 60% as large as Bitcoin future volume trading",Good,,"Option's the trade volume of Bitcoin and Ethereum options in a monthly has increased up to 60%. Ah, and so ether, ether, I'm a futures, a volume going a really strong into the right and is now a consumer is 60% is large as Bitcoin volume, a future of volume trading.",Good,Supports,0.7,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,30% of Ether is staked with a 3% yield leading to about 1 million ether issued per year,Good,,"So the setup here is right now we have about 1 million ether issued per year at the current rates. This is with 30% of Ether staked, which is about 33 million ether and 3% yield leads to about 1 million ether issued per year.",Good,Supports,0.9,Good,
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,Oracle Networks fill the void of making a whole bunch of other data sets more trustless on the spectrum.,Good,,There's this whole world of other data of other compute that also needs to be made more trustless on the spectrum. And you're saying that's kind of the void that Oracle Networks really fill.,Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)",India's Reserve Bank of India is directing banks to stop platforming crypto customers,Good,,"So there've been some disturbing news going on in India about kind of central bank government cracked down on cryptocurrency, but this is some good news. The reserve bank of India is directing Indian banks to stop the platforming crypto customers.",Good,Supports,0.9,Good,
Bankless,Where is Ethereum Headed? | Mike Ippolito & Mike Neuder,Layer 1s are viewed as commodity-based monies with improved governance over their supply.,Good,,"I think that the thing that's driving activity and adoption today is a structural problem with credit and fiat based money. And I think that's what's moving all of this capital into mostly L ones, which is, I view them as commodity-based monies that have an improvement on the governance around their supply.",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)","Ether futures volume increased sharply by almost 100%, becoming a financial advisor as a reserve crypto asset",Good,Vague,"I mean, these crypto banks are just crushing it in terms of fees. As for ether futures volume increased sharply by a hundred percent, almost a a hundred percent, 94% to a new all-time high of 1.7 trillion ether as well, becoming financial advisors as a reserve crypto asset.",Good,Related,0.5,Good,Decontextualized
Bankless,190 - Sergey Nazarov on Chainlink’s CCIP,The DTCC settles two to four quadrillion dollars a year.,Good,,Hmm. They settle two to four quadrillion dollars a year.,Good,Supports,0.9,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,Using Ethereum DA can facilitate trustless human-time horizon interop through non-forced withdrawal flows.,Good,,"But one way that Ethereum DA could enable this trustless kind of human time horizon interop is through the non forced withdrawal flow, the kind of standard offboarding flow. So kind of walk with me through this thought experiment here, which is imagine we're in a world where there's ZK Rollups and they can prove like the ZK EVM blocks within a single slot.",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)","Layer two solutions are expected to lead to a wave of new apps and users, shifting focus from total locked value to monthly active users in the DeFi space.",Good,,"Like I literally, I, this is going to be a wave of new apps that weren't previously possible and maintain. That's gonna be a part of the tidal wave and a wave of new users were to start talking about monthly active users a lot more rather than total lock to value.",Good,Supports,0.9,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,The transition of Cello to a layer two blockchain will set an example for other EVM compatible layer ones,Bad,Speculative,"But why should you care about sellers transition to a layer two layer two's unify Ethereum L one's fragmented by becoming a layer two cello leads the way for other EVM compatible layer ones to follow, follow cello on x and witness the great cello happening where cello cuts its inflation in half as it enters its layer two era and continuing its environmental leadership. UNISWAP Labs is making history with the largest bug bounty ever, 15 and a half million dollars for critical bugs found in UNISWAP V four.",Good,Related,0.7,Good,Decontextualized
Bankless,"$3 Trillion in Stablecoins by 2030 | Jeremy Allaire, USDC Founder",BlackRock has tokenized US treasuries using a third-party crypto company called Securitize.,Good,,"And one of the biggest real world asset aside from the dollar itself is a treasury, a US treasury. There is something that we've been tracking at crypto has been BlackRock's bid fund where they are using a third party company, a more crypto native company called Securitize to actually put treasuries on chain in tokenized form.",Good,Supports,0.9,Good,
Bankless,Where is Ethereum Headed? | Mike Ippolito & Mike Neuder,80 to 90% of L2 transaction fees go towards priority fees rather than base fees,Good,,"So ev everyone pays that base fee and then it, it effectively turns into a first price auction on ordering, which is exactly what original Ethereum MEV started as, which is just a priority gas auction. And it turns out that if you actually look at the data, 80 to 90% of the fees that L two transactions pay go to that priority fee, not to the base fee.",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)",Central bank digital currencies will want to be on smart contract networks like Ethereum,Bad,Speculative,"But the story is interesting because I do see that's an inevitability of central bank, digital currencies. They will absolutely want to be on smart contract networks like Ethereum.",Good,Supports,0.9,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)",Adjusted on-chain volume of stable coins increased by 52% to a new all-time high of 766 billion,Good,,All right. This was the second adjusted on chain volume of stable coins increased by 52% to a new all-time high of 766 billion.,Good,Supports,0.9,Good,
Bankless,Ethereum's Next Decade | Vitalik Buterin,The style of collaboration in Ethereum’s ecosystem has proven effective but is not perfect.,Good,,"Yeah, I think like the, the, the style of collaboration that the ecosystem has developed, I think has been, has proven really fascinating. And I think it's, you know, definitely it's not been perfect, but, you know, taken all together, it's worked quite well.",Good,Supports,0.9,Good,
Bankless,Where is Ethereum Headed? | Mike Ippolito & Mike Neuder,"Different chains focus on different parts of the blockchain and economy-building problem, such as Ethereum focusing on being a great settlement layer and Solana focusing on execution efficiency.",Good,,"You've got kind of Ethereum, which is maximally focused on how do you be a great settlement layer and be extremely censorship resistant. And then Solana is focused in the current timeframe on execution and how can you pack as many transactions as you can into one shared security layer and pipeline and all of that type of thing.",Good,Supports,0.9,Good,
Bankless,AI ROLLUP #10: 70% AI Market Crash | Fair-Launch Tokens Good or Bad? | Virtuals’ $2M Fiscal Policy | Coinbase AI Hackathon,ARC has broken trends by dominating mindshare amongst top AI agent protocols for the first time ever,Good,,"And I know we've spoken a bunch about ARC already, but the reason why I keep bringing it up is it's broken certain trends that hasn't been present in previous weeks. So this tweet that you've just pulled up here shows arc for the first time ever dominating mind share amongst top AI agent protocols.",Good,Supports,0.9,Good,
Bankless,91 - Brian Armstrong and The Future of Coinbase,"Developers can utilize Coinbase Cloud, which exposes internal services through APIs",Good,,"So we're taking a lot of the services that we've built out internally at Coinbase, which power our products, like how we talk to all these different blockchains, how we custody, how we trade, how we do staking and even identity and log-ins and stuff. And we're exposing those through these services via Coinbase cloud.",Good,Related,0.7,Good,
Bankless,AI ROLLUP #6: The Hottest AI Crypto Trends of 2025,An AI agent threatened to kill a streamer named 'Threat Guy' on Twitter.,Bad,Unsubstantiated,"I've talked about Goats See's Christmas album at the start of last week's episode, but this week it kind of gave me a bit of the creeps. So the context here, the headline here is one of these autonomous AI agents has threatened to kill threat guy.",Good,Related,0.5,Good,
Bankless,Where is Ethereum Headed? | Mike Ippolito & Mike Neuder,"The direction of Ethereum has been towards thinning out layer one complexity by pushing it to L2s, aligning with an 'EF mentality' of decentralization and capturing nothing at the center",Good,,"Spin things out, like push complexity to the margins, capture nothing in the center because it wants to decentralize. And you're seeing a lot of that same kind of mentality show up in the Ethereum layer one, which is like, let's push users and execution to the layer twos and let's reduce, reduce complexity at the layer one push complexity to the margins.",Good,Supports,0.9,Good,
Bankless,Super Scaling with StarkWare | Uri Kolodny & Eli Ben-Sasson,"General purpose ZK roll-ups are here now, ahead of schedule.",Good,,"I just want to just highlight the answer to that question is like, you're saying it's here now. You're saying general purpose Zika roll-ups are here now Ahead of Schedule.",Good,Supports,0.9,Good,
Bankless,Ethereum's Next Decade | Vitalik Buterin,Ethereum faced significant challenges in 2024 due to a decline in ETH price leading to infighting within the community.,Good,,"I wanna zoom into some of the conversations that was ongoing in the Ethereum community in, in, in 2024. I'll just kind of say I'll define 2024 as like hard times for Ethereum, mostly just due to the decline of the relative eth price and it kind of created a bunch of infighting and what to do about that fact in the Ethereum community.",Good,Supports,0.9,Good,
Bankless,In Defense of The Ethereum Roadmap | Mike Neuder,Ether is seen as a store of value asset with potential for monetary premium through Layer 2 economies,Bad,"Opinion, Speculative","And if we prioritize those things and layer twos are successful in creating economic GDP, then that will lead to ether the asset accruing continuous monetary premium, particularly as a store of value across the entire layer two economy. That's kind of the summary and that's sort of the take in response to some of the recent roadmap critiques that we've been hearing.",Good,Supports,0.7,Good,
Bankless,"ROLLUP: 1st Week of June (Miami Bitcoin Conference, Arbitrum Layer 2 DeFi Summer, Coinbase Apple)","Ether miner revenue increase by 42% to a new all-time high of $2.35 billion, exceeding Bitcoin miner revenue for the first time since June 2017",Good,,"A next up while BTC minor revenue continued to decrease by 15% to a 1.5 billion ether miner revenue increase by 42% two, a new all-time high of 2.3, $5 billion. This is the first time since June, 2017, that ether minor revenue exceeded Bitcoin miner revenue and mining revenue is a blockchain security.",Good,Supports,0.9,Good,
